Album URL,Album Caption,Img URL,Img caption,DON,Notes
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796819&size=full&album=1&collection=823352&parent=74057,"National Park, N.S.W. [river scene]
Digital Order Number: a106197",a106197,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796820&size=full&album=1&collection=823352&parent=74057,"River Scene, National Park, N.S.W.
Digital Order Number: a106198",a106198,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796821&size=full&album=1&collection=823352&parent=74057,"The Lovers Lookout, National Park, N.S.W.
Digital Order Number: a106199",a106199,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=71646,"[Postcards of Austinmer, N.S.W.]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796093&size=full&album=1&collection=823271&parent=71646,"Shell Beach, Austinmer
Digital Order Number: a105025",a105025,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796095&size=full&album=1&collection=823271&parent=71646,"Surfing
Digital Order Number: a105027",a105027,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796096&size=full&album=1&collection=823271&parent=71646,"Coal Point
Digital Order Number: a105028",a105028,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796097&size=full&album=1&collection=823271&parent=71646,"From Esplanade
Digital Order Number: a105029",a105029,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796093&size=full&album=1&collection=823271&parent=71646,"Shell Beach, Austinmer
Digital Order Number: a105025",a105025,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=71648,"[Postcards of Avoca, N.S.W]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796098&size=full&album=1&collection=823280&parent=71648,"Lake and Ocean
Digital Order Number: a105030",a105030,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796099&size=full&album=1&collection=823280&parent=71648,"Lake Scene
Digital Order Number: a105031",a105031,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796100&size=full&album=1&collection=823280&parent=71648,"Avoca House
Digital Order Number: a105032",a105032,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796101&size=full&album=1&collection=823280&parent=71648,"View from Avoca House
Digital Order Number: a105033",a105033,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796102&size=full&album=1&collection=823280&parent=71648,"Tennis Court
Digital Order Number: a105034",a105034,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=71645,"[Postcards of buildings and streetscapes, Auburn]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796087&size=full&album=1&collection=823263&parent=71645,"Girls School, Auburn
Digital Order Number: a105019",a105019,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796088&size=full&album=1&collection=823263&parent=71645,"Auburn Rd
Digital Order Number: a105020",a105020,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796089&size=full&album=1&collection=823263&parent=71645,"Auburn Rd and Post Office
Digital Order Number: a105021",a105021,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796090&size=full&album=1&collection=823263&parent=71645,"The Convent
Digital Order Number: a105022",a105022,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796091&size=full&album=1&collection=823263&parent=71645,"Baptist Church
Digital Order Number: a105023",a105023,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796092&size=full&album=1&collection=823263&parent=71645,"St. Joseph's Hospital
Digital Order Number: a105024",a105024,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=72941,"[Residential streetscenes, Lindfield, N.S.W.]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796556&size=full&album=1&collection=823305&parent=72941,"Russell Ave., Lindfield
Digital Order Number: a105507",a105507,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796557&size=full&album=1&collection=823305&parent=72941,"Grosvenor Rd., Lindfield
Digital Order Number: a105508",a105508,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796558&size=full&album=1&collection=823305&parent=72941,"Bayswater Rd., Lindfield
Digital Order Number: a105509",a105509,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796559&size=full&album=1&collection=823305&parent=72941,"Middle Harbour Rd., Lindfield
Digital Order Number: a105510",a105510,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=74081,"[Rylstone, Lue St.?] ; Post and Telegraph Office, Rylstone ; Rifle Range and River, Rylstone",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796826&size=full&album=1&collection=823354&parent=74081,"[Rylstone, Lue St.?]
Digital Order Number: a106204",a106204,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796827&size=full&album=1&collection=823354&parent=74081,"Post and Telegraph Office, Rylstone
Digital Order Number: a106205",a106205,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796828&size=full&album=1&collection=823354&parent=74081,"Rifle Range and River, Rylstone
Digital Order Number: a106206",a106206,
http://www.acmssearch.sl.nsw.gov.au//search/itemDetailPaged.cgi?itemID=74101,"[Saratoga, N.S.W.]",,,,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796829&size=full&album=1&collection=823355&parent=74101,"The Beach, Saratoga [Earl's Court Beach, Mt. Pleasant, Woy Woy]
Digital Order Number: a106208",a106208,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796830&size=full&album=1&collection=823355&parent=74101,"View from Saratoga
Digital Order Number: a106209",a106209,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796831&size=full&album=1&collection=823355&parent=74101,"Saratoga
Digital Order Number: a106210",a106210,
,,http://www.acmssearch.sl.nsw.gov.au/search/itemLargeCopyright.cgi?itemID=796832&size=full&album=1&collection=823355&parent=74101,"Saratoga, Mt. Pleasant, Woy Woy
Digital Order Number: a106211",a106211,
